Variable:,pr
Country:,"United States"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,39.06,38.44,58.84,51.18,52.76,70.12,67.97,63.51,52.92,25.97,55.52,35.26
1963,50.95,38.32,61.62,71.54,51.16,64.89,62.00,70.62,59.56,34.42,52.76,67.52
1964,50.26,47.94,50.22,55.93,61.29,75.45,67.04,71.39,86.47,36.52,45.56,49.59
1965,49.58,52.62,35.30,53.24,50.89,53.12,60.61,75.36,57.73,40.30,45.57,54.33
1966,45.41,32.40,44.66,60.07,65.46,81.48,73.35,65.88,57.75,50.28,40.99,68.04
1967,48.85,33.23,47.03,53.53,74.08,70.86,65.00,69.68,54.36,47.25,60.47,60.75
1968,62.53,49.14,42.07,55.43,59.63,73.49,75.48,58.64,52.34,60.10,37.17,64.91
1969,43.10,36.96,57.85,59.97,58.27,64.87,60.24,59.78,70.75,66.16,48.84,50.90
1970,41.89,52.66,43.60,40.00,64.37,58.95,73.59,68.58,68.21,63.92,44.61,72.07
1971,49.43,37.14,46.07,48.79,65.66,70.76,67.78,64.41,65.96,66.53,67.41,65.25
1972,55.11,43.71,87.57,71.12,65.80,69.92,71.76,55.54,78.98,54.94,66.07,65.81
1973,65.45,37.93,55.13,54.34,66.40,62.46,55.58,81.59,64.32,51.30,49.61,54.02
1974,57.09,56.40,72.31,58.83,72.32,76.75,72.69,67.22,66.44,51.44,48.98,46.25
1975,39.69,41.66,57.52,49.83,65.58,62.40,64.94,50.73,60.08,56.07,29.97,33.64
1976,37.37,29.01,67.29,52.37,59.93,59.35,59.03,82.24,79.25,51.62,59.50,57.43
1977,68.57,39.88,49.86,54.79,79.44,63.33,64.85,65.54,57.94,31.23,59.29,59.36
1978,73.03,54.31,63.15,67.69,69.44,61.26,80.00,71.46,59.63,52.05,57.90,43.07
1979,58.70,43.67,73.41,52.06,67.78,58.39,53.62,64.12,65.62,46.03,39.86,34.13
1980,25.74,49.52,48.85,46.68,76.14,78.22,79.90,71.65,50.12,69.88,47.14,51.65
1981,62.16,48.35,57.43,54.18,75.81,78.05,74.31,62.92,65.09,55.32,65.95,81.31
1982,45.90,57.30,77.33,72.01,76.14,67.60,52.28,63.55,57.05,61.74,83.39,73.43
1983,32.28,46.78,58.34,63.25,68.07,68.13,70.78,63.24,44.98,78.80,60.40,57.87
1984,35.64,47.15,56.98,42.05,57.98,64.80,63.99,72.18,75.89,73.11,76.48,36.07
1985,33.67,58.45,44.32,48.38,63.60,69.13,69.15,71.58,86.27,66.68,66.01,48.02
1986,50.76,52.80,57.51,32.21,71.69,66.85,66.74,65.54,57.31,31.50,59.13,64.92
1987,43.44,35.82,45.95,51.25,48.82,41.50,64.36,66.77,66.34,36.30,67.59,41.60
1988,46.35,46.03,61.05,41.18,74.57,88.20,71.40,70.02,69.41,46.10,40.09,34.52
1989,61.53,60.40,61.62,53.42,82.91,58.46,72.33,67.61,56.08,63.11,47.57,63.52
1990,50.12,37.51,73.76,69.30,80.54,65.81,66.88,64.44,62.86,50.15,55.06,60.80
1991,48.07,52.01,56.60,44.37,52.01,79.92,86.86,73.29,56.99,39.53,73.88,63.27
1992,72.95,49.61,61.43,60.47,64.69,80.98,69.13,71.34,69.02,53.59,51.72,45.06
1993,50.71,46.48,55.22,59.86,54.06,67.88,73.48,66.37,53.31,64.06,65.87,50.28
1994,66.44,35.51,62.81,59.89,88.15,75.22,67.10,66.37,54.66,57.41,47.44,47.89
1995,59.25,44.33,50.36,54.07,70.60,67.50,74.30,65.27,78.95,55.43,65.27,65.72
1996,60.84,52.58,49.86,61.82,62.49,77.44,64.94,69.41,60.39,56.61,52.62,52.06
1997,71.08,69.80,70.57,56.40,56.97,77.51,71.55,64.72,60.23,67.61,55.09,44.45
1998,68.18,40.09,47.83,61.38,64.75,79.22,65.41,60.31,61.58,38.93,31.95,40.69
1999,49.13,47.37,54.10,50.85,58.37,79.12,61.49,53.67,57.48,52.63,61.20,38.56
2000,44.76,52.50,56.89,46.09,61.13,69.44,70.17,63.30,59.96,49.63,50.77,51.31
2001,46.64,29.79,55.32,49.74,59.36,58.46,63.86,61.93,68.18,69.64,43.72,65.21
2002,29.33,58.29,52.45,55.69,72.79,79.92,65.66,66.77,65.43,42.47,58.28,54.02
2003,43.37,53.66,44.97,53.69,73.35,78.97,73.15,69.69,70.48,69.05,71.50,51.24
2004,60.49,47.68,51.20,54.40,60.99,74.01,64.92,72.98,55.04,52.74,49.75,51.29
2005,55.03,34.96,51.09,56.76,51.45,62.88,60.47,72.53,67.85,66.56,51.39,55.92
2006,50.25,37.48,49.23,52.89,59.91,66.86,68.97,61.91,56.69,62.27,33.23,64.61
2007,49.23,53.86,54.85,56.23,65.33,69.85,71.33,69.09,64.03,50.39,43.56,61.73
2008,38.07,36.62,59.81,61.07,70.86,68.57,71.89,66.62,60.24,91.76,37.22,65.27
2009,56.23,44.80,49.71,50.41,70.17,81.01,80.62,61.88,65.28,44.79,51.39,51.24
2010,40.41,50.77,61.31,65.34,73.11,62.97,65.39,62.62,61.22,51.26,58.38,54.58
2011,48.01,45.47,59.85,51.83,57.78,54.37,66.14,62.78,65.85,52.39,31.99,62.11
2012,54.10,47.18,40.89,64.76,83.67,80.40,78.02,64.61,72.25,58.08,47.41,54.11
2013,37.25,48.71,50.71,64.56,62.46,87.49,67.28,75.50,64.78,53.48,47.63,61.07
2014,45.48,41.83,46.82,66.19,84.59,80.69,81.76,68.88,62.42,68.21,76.99,82.53
2015,48.35,43.19,62.11,67.40,68.19,60.84,76.10,79.43,66.66,50.56,43.44,62.03
2016,68.49,49.33,55.14,77.59,75.84,74.76,69.42,83.16,59.08,63.35,37.06,41.96
2017,44.42,60.32,54.44,56.31,68.14,73.42,70.04,75.31,80.24,80.03,62.87,78.83
2018,57.64,69.71,52.21,68.81,97.15,77.74,66.89,71.52,63.06,79.84,51.33,59.07
2019,59.18,52.14,65.06,61.38,67.27,68.70,73.08,61.65,55.80,55.01,49.52,48.80
2020,,,,,,,,,,,,
