Variable:,pr
Country:,Turkey
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,114.71,83.73,66.61,93.24,103.38,39.57,25.23,9.17,24.56,54.02,32.00,64.26
1963,23.40,78.83,88.21,28.69,52.00,49.20,8.28,9.10,27.01,7.39,66.83,77.95
1964,51.49,106.33,62.29,82.29,51.46,25.39,14.70,8.99,6.81,55.80,62.93,94.00
1965,134.04,26.91,69.86,61.31,48.24,19.29,13.92,15.64,26.85,16.50,45.05,118.47
1966,81.34,56.32,71.37,77.76,73.20,30.13,15.54,10.03,22.53,50.44,76.62,90.26
1967,133.46,48.98,75.40,40.14,57.77,37.12,5.49,24.44,40.43,44.54,78.29,113.07
1968,108.37,75.10,81.76,77.97,52.88,33.47,9.86,4.98,12.82,37.24,37.55,110.12
1969,58.67,84.58,58.17,28.55,39.78,20.10,13.96,12.45,15.72,50.78,51.76,67.94
1970,31.51,63.94,78.83,79.35,54.17,33.27,11.98,22.57,13.18,39.95,59.01,83.25
1971,36.26,44.65,36.68,74.17,79.50,66.16,24.63,22.23,27.34,62.64,40.85,12.13
1972,43.12,57.76,49.80,65.03,34.64,35.52,12.36,5.62,6.87,34.86,54.80,56.31
1973,49.93,44.94,71.78,65.33,49.93,18.06,8.25,24.04,25.42,21.21,48.20,86.77
1974,63.52,73.97,45.37,77.98,77.31,44.08,8.37,15.10,12.48,30.00,61.55,74.09
1975,89.37,53.63,40.07,85.29,76.27,33.78,20.80,14.84,16.96,79.27,41.13,78.20
1976,49.07,36.69,69.03,80.04,46.44,31.43,13.03,7.23,25.65,35.85,27.98,86.24
1977,108.15,88.47,71.43,75.27,30.84,25.58,4.79,6.70,35.08,59.81,15.60,79.87
1978,102.34,52.63,37.63,49.24,59.17,45.05,23.17,11.81,10.10,65.60,87.56,72.51
1979,88.62,46.20,88.76,69.35,64.15,20.98,5.79,10.02,14.61,24.23,69.45,82.16
1980,121.56,65.31,68.02,39.18,69.52,37.56,18.87,10.43,12.92,30.84,75.54,111.46
1981,58.42,38.16,57.64,85.44,60.56,33.84,25.64,16.43,9.48,38.21,29.70,48.63
1982,60.05,68.25,45.87,48.57,68.71,41.90,28.71,14.19,14.43,44.19,106.92,55.87
1983,65.03,45.38,72.74,90.33,40.36,18.76,20.88,17.05,2.13,15.68,63.96,34.85
1984,82.63,86.08,47.27,51.03,43.87,22.92,8.43,6.53,6.82,67.12,62.24,56.56
1985,79.45,75.30,19.79,34.37,72.09,43.96,6.79,6.35,19.46,37.75,56.77,77.28
1986,103.10,52.73,87.45,56.47,33.43,33.93,21.87,15.50,3.35,54.41,69.74,118.01
1987,46.68,71.40,100.64,68.05,59.74,52.87,21.65,13.70,11.62,78.08,93.50,67.57
1988,21.51,14.53,43.28,18.75,40.71,26.93,10.09,8.58,14.64,71.50,106.08,63.07
1989,33.11,51.40,23.13,70.60,51.80,31.20,12.85,9.19,24.24,33.90,45.46,77.95
1990,47.61,56.40,62.17,68.23,84.68,27.77,15.45,7.65,19.84,46.88,51.12,109.92
1991,31.20,60.59,43.20,39.61,61.96,61.55,23.56,8.36,16.55,27.74,88.25,76.81
1992,52.40,58.44,43.98,55.71,98.25,32.70,5.78,11.44,8.04,16.19,77.67,41.18
1993,77.60,62.23,43.94,47.74,47.63,22.19,15.64,12.85,8.48,61.17,96.40,91.03
1994,70.92,30.12,82.21,74.30,41.91,38.09,30.03,11.38,23.66,36.57,87.58,35.14
1995,65.42,68.78,93.55,66.97,41.51,14.27,8.47,19.11,41.01,58.13,23.83,109.11
1996,42.40,45.76,65.20,78.76,38.32,37.78,14.87,25.67,25.98,83.79,44.18,100.08
1997,65.23,55.66,90.64,59.35,90.91,27.74,14.06,4.24,17.76,40.84,61.25,101.14
1998,45.74,76.22,70.10,54.31,31.92,42.20,19.01,24.06,23.32,38.91,32.28,39.46
1999,84.41,62.10,58.10,67.96,46.27,31.55,8.72,18.30,22.97,44.72,31.38,62.75
2000,26.11,59.60,49.20,67.02,79.22,11.60,12.34,15.10,13.60,25.93,87.86,138.72
2001,64.22,29.73,55.57,97.03,39.12,27.59,31.70,24.95,36.85,44.27,48.45,84.46
2002,59.66,101.11,63.20,80.46,38.66,25.65,12.62,7.47,23.92,60.06,48.27,90.11
2003,107.73,56.63,35.34,62.46,53.91,35.77,10.25,16.12,7.67,21.02,90.74,37.48
2004,71.44,62.92,74.79,56.30,51.83,38.28,16.86,10.73,27.66,42.78,68.82,46.97
2005,77.33,71.25,61.87,63.05,40.86,29.40,11.08,6.95,35.55,82.42,61.13,20.50
2006,51.17,42.35,54.58,60.25,44.05,31.76,10.12,16.35,6.72,41.42,91.45,76.79
2007,40.93,36.99,47.95,35.79,43.61,23.12,8.13,11.99,42.48,39.68,50.28,55.04
2008,82.79,97.10,80.60,62.23,44.93,31.44,27.54,6.66,37.63,35.10,85.00,99.73
2009,102.47,84.87,55.33,59.81,43.00,56.93,18.07,6.78,14.32,81.39,12.85,87.26
2010,65.96,51.96,53.18,102.75,75.25,51.64,16.12,11.25,19.38,59.50,32.56,59.32
2011,116.41,85.04,51.22,43.43,78.83,27.68,18.16,14.73,10.77,51.20,57.72,125.06
2012,87.39,67.31,52.80,55.95,48.59,26.64,11.42,8.20,15.20,44.18,42.91,33.63
2013,55.30,23.43,70.78,47.41,67.65,54.49,14.45,18.09,51.16,62.71,63.38,77.83
2014,85.80,78.25,91.47,54.14,59.48,63.54,5.90,25.39,22.33,77.13,31.78,29.67
2015,111.13,52.73,67.36,39.01,82.08,41.06,17.30,16.06,32.59,20.86,50.24,89.51
2016,68.07,16.24,62.61,64.29,71.64,36.05,8.66,18.17,7.99,46.34,54.89,58.48
2017,81.58,52.49,75.57,21.12,93.84,53.60,17.46,13.55,17.48,59.92,55.55,127.39
2018,100.48,58.34,58.41,72.80,41.11,48.11,21.08,16.24,14.34,24.67,29.93,90.93
2019,62.14,75.17,72.81,54.29,72.69,46.92,14.48,11.07,10.83,23.79,38.86,47.01
2020,,,,,,,,,,,,
