Variable:,pr
Country:,France
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,52.05,58.75,77.56,71.51,54.67,110.97,49.73,133.17,78.52,44.14,117.44,37.24
1963,21.90,68.30,89.90,67.32,67.79,52.61,32.65,57.06,63.76,82.73,56.84,66.80
1964,96.11,16.54,83.03,52.25,71.80,55.19,74.31,90.41,150.68,48.03,114.44,134.19
1965,74.53,101.42,34.33,93.30,67.35,65.44,64.91,70.84,35.62,140.83,99.33,99.68
1966,43.37,60.77,52.49,34.35,91.21,38.76,29.02,58.12,81.09,74.31,98.47,64.04
1967,72.76,82.92,38.53,67.89,90.94,64.40,61.13,110.11,118.40,49.27,79.56,80.46
1968,60.72,59.23,86.41,78.20,92.15,79.06,52.12,63.57,81.76,18.39,102.20,70.92
1969,84.81,105.48,67.21,66.63,58.17,81.50,37.56,69.74,38.88,75.92,84.16,48.01
1970,81.94,33.63,71.23,68.08,96.43,92.76,53.72,69.85,46.38,27.43,93.88,46.61
1971,84.62,104.71,57.47,66.23,69.71,82.49,52.97,74.45,55.60,60.05,92.07,58.22
1972,53.87,55.91,17.54,48.87,79.45,64.43,75.93,45.29,73.87,66.72,46.40,82.55
1973,65.51,88.96,80.56,53.61,64.58,66.47,43.54,66.34,117.21,105.73,93.20,44.83
1974,77.43,29.09,89.47,51.33,91.73,51.72,39.77,79.01,119.02,36.18,107.85,47.57
1975,32.98,55.67,35.79,45.30,39.47,11.86,62.37,56.71,104.80,126.81,98.80,84.55
1976,95.37,106.08,71.66,62.73,123.76,97.62,103.90,89.30,16.07,89.61,78.63,79.25
1977,107.67,92.42,104.43,77.97,81.62,65.76,56.32,42.01,36.47,19.21,15.99,121.39
1978,101.74,93.74,115.48,72.47,84.16,55.72,31.28,70.52,37.93,141.97,65.34,116.51
1979,70.08,56.82,92.59,31.85,87.89,83.51,79.38,56.13,49.06,94.57,69.11,65.39
1980,75.76,45.21,90.56,43.96,114.71,80.53,69.71,35.00,93.26,119.03,31.64,154.95
