Variable:,pr
Country:,Brazil
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,209.83,240.48,214.58,171.02,113.68,69.44,49.65,40.49,59.05,95.62,162.98,211.77
1963,280.99,234.10,226.77,184.60,154.73,83.08,69.12,60.88,76.17,140.54,159.66,201.99
1964,225.18,191.65,254.83,204.39,127.90,82.55,71.94,52.42,75.83,148.27,157.93,178.27
1965,209.98,235.69,213.01,180.76,136.80,83.97,77.22,51.86,78.12,116.02,147.73,204.64
1966,220.29,225.39,242.72,195.15,125.24,81.23,60.00,42.43,63.63,96.04,160.27,205.49
1967,194.84,223.88,248.03,169.35,129.21,76.69,58.66,60.64,76.66,114.34,185.90,203.84
1968,232.24,194.90,224.86,173.99,137.96,81.90,63.98,52.84,64.53,121.83,146.35,198.29
1969,232.08,207.63,241.34,184.76,120.13,87.84,62.36,59.22,84.40,125.09,179.46,159.32
1970,197.57,209.77,241.92,201.89,139.23,103.98,74.16,58.66,71.35,143.36,174.61,165.55
1971,214.88,232.65,216.82,174.37,122.01,81.45,74.32,79.46,84.16,126.44,166.70,222.04
1972,211.78,216.37,248.48,196.37,162.90,92.20,84.93,73.42,82.65,162.39,166.25,207.16
1973,240.37,228.86,281.33,220.60,139.00,103.51,68.80,63.86,79.16,136.98,156.07,223.31
1974,229.66,221.19,240.64,210.80,148.05,92.92,89.93,64.54,79.55,123.32,173.82,180.92
1975,207.99,244.07,233.02,170.30,138.43,73.22,56.77,53.14,83.91,142.51,174.00,190.56
1976,243.17,209.41,210.63,201.66,138.32,100.90,66.33,52.23,86.73,125.33,152.30,220.03
1977,221.30,224.86,242.07,183.87,150.43,73.73,83.97,54.91,82.10,125.39,152.51,207.69
1978,253.78,245.55,224.09,180.17,133.63,66.30,50.40,70.28,93.78,125.65,157.45,203.20
1979,258.66,271.06,204.24,165.55,113.47,82.95,55.10,49.63,77.04,112.67,165.37,202.99
1980,229.12,181.83,257.63,148.41,103.76,81.12,50.50,57.96,64.91,130.17,174.01,197.32
1981,264.28,215.25,253.65,181.95,121.81,77.33,65.20,58.65,74.98,114.58,127.90,192.98
1982,220.91,208.22,240.87,172.36,120.40,64.13,51.81,51.17,77.54,126.01,157.15,202.73
1983,193.71,201.42,243.18,224.99,139.33,80.26,66.58,80.63,97.51,124.75,135.47,175.98
1984,316.55,222.51,248.87,196.88,142.71,78.62,67.08,64.44,79.83,132.09,151.83,235.93
1985,211.63,214.58,250.97,179.92,129.58,85.97,66.24,59.80,72.10,122.11,150.15,194.87
1986,193.46,178.82,253.62,193.79,118.93,77.24,59.07,48.45,72.48,100.89,146.63,195.20
1987,222.65,219.88,251.17,202.48,142.10,86.00,59.78,39.15,59.99,109.61,153.97,218.16
1988,222.55,215.75,241.01,197.13,142.53,98.16,77.37,62.50,78.44,126.63,172.96,292.10
1989,192.58,209.27,205.92,174.07,133.63,77.56,73.22,68.66,85.98,115.20,147.03,172.39
1990,253.00,196.58,238.72,184.64,123.44,84.76,63.80,51.46,71.29,97.85,146.60,171.83
1991,235.37,226.50,227.08,171.67,107.50,68.21,63.03,55.37,88.58,115.50,162.33,194.57
1992,209.81,226.63,190.33,171.61,118.12,77.53,65.62,57.23,80.48,122.06,171.20,200.69
1993,250.28,219.37,251.04,181.81,125.64,101.83,64.13,53.57,76.21,123.01,161.74,192.74
1994,204.58,222.70,229.53,200.14,139.66,86.49,67.72,46.60,67.99,116.92,179.29,220.12
1995,224.77,215.49,257.51,202.19,123.63,79.25,72.62,54.65,79.17,132.14,174.71,186.86
1996,243.14,219.17,279.52,184.20,127.67,72.49,55.39,54.29,71.69,112.05,160.32,206.73
1997,214.12,201.63,224.93,177.89,128.15,88.72,64.28,66.24,77.43,127.88,176.33,201.58
1998,242.56,209.41,233.51,175.95,140.28,85.24,64.92,48.49,79.22,116.17,175.01,215.67
1999,242.29,244.65,249.57,198.76,132.71,83.28,72.59,66.10,97.14,110.36,173.78,216.48
2000,213.68,210.50,241.21,171.11,134.91,90.85,70.94,46.38,82.36,128.86,168.84,218.20
