Variable:,pr
Country:,Japan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,67.68,48.82,92.36,136.70,240.91,284.63,178.20,272.51,144.36,137.34,85.64,60.96
1963,115.35,76.99,81.13,156.22,103.26,219.86,202.07,193.24,208.62,106.65,97.37,68.30
1964,89.44,52.37,66.93,110.84,216.43,215.35,287.30,101.11,284.60,82.07,127.65,105.46
1965,73.55,101.45,159.05,122.59,170.07,259.50,234.98,173.12,278.43,135.54,83.26,66.12
1966,83.06,50.77,113.36,176.18,81.06,158.42,252.63,127.20,147.66,153.02,91.48,66.38
1967,58.34,75.29,90.72,87.35,136.41,153.25,245.44,262.32,158.93,113.50,64.43,139.86
1968,95.17,90.59,99.75,96.49,123.10,243.25,242.19,189.80,118.03,96.98,88.94,68.12
1969,80.77,65.45,72.74,126.93,152.62,272.36,173.32,170.15,168.68,112.05,109.03,63.37
1970,64.04,67.92,80.06,90.28,131.62,191.05,254.17,242.24,236.06,141.28,33.83,80.62
1971,126.29,131.43,96.54,138.63,144.26,226.66,319.78,195.45,240.20,101.03,136.59,112.98
1972,118.06,70.29,41.14,162.97,140.61,124.78,104.26,154.99,207.40,154.66,77.60,48.10
1973,47.35,73.61,86.90,151.73,99.90,197.55,297.24,175.14,221.34,140.30,76.93,68.64
1974,85.60,80.63,92.62,130.81,116.39,222.78,199.82,189.17,142.32,184.32,150.85,67.00
1975,37.42,116.04,83.46,127.81,152.49,217.96,150.17,236.91,266.35,148.60,91.83,80.42
1976,40.10,52.12,133.25,142.81,137.47,207.39,111.99,215.92,159.53,50.70,152.79,73.88
1977,59.90,48.82,85.59,101.73,105.89,239.02,96.22,114.50,151.68,116.31,70.59,61.54
1978,80.13,114.26,103.42,132.44,111.02,232.52,180.05,160.41,195.00,197.94,156.93,59.36
1979,103.56,44.05,131.93,130.09,189.41,157.28,360.68,332.92,132.91,187.65,85.11,100.51
1980,44.52,67.34,105.12,150.69,152.92,232.30,199.43,246.85,151.13,157.38,105.61,46.78
1981,59.60,56.52,98.60,135.23,119.56,124.62,273.30,226.75,236.85,77.26,125.88,56.43
1982,50.75,71.84,135.85,148.01,130.92,193.85,252.98,171.98,266.86,112.16,60.17,47.24
1983,67.22,64.42,68.79,97.78,94.92,219.31,156.39,97.53,121.01,83.23,57.97,75.75
1984,40.63,124.08,124.56,139.05,133.86,299.49,221.69,100.50,195.83,121.25,111.69,61.75
1985,48.61,51.80,116.12,110.60,184.75,180.26,218.05,157.20,151.86,84.77,50.86,88.00
1986,70.99,55.88,128.82,60.96,142.18,146.53,280.79,199.55,158.42,140.09,71.88,53.24
1987,53.18,44.36,125.84,116.52,148.16,280.44,194.89,220.36,213.76,88.20,77.78,38.18
1988,111.88,120.35,105.67,121.99,162.91,191.30,187.54,246.51,324.82,105.75,101.72,60.24
1989,81.76,112.16,92.29,143.43,120.25,190.48,160.56,150.39,312.38,161.55,165.04,67.70
1990,63.74,96.76,139.03,128.37,110.90,243.83,265.82,203.50,229.31,166.17,87.65,72.03
1991,62.40,57.62,146.05,136.87,137.30,172.33,138.95,213.42,141.98,137.18,89.20,88.51
1992,92.42,86.40,72.10,91.57,130.32,293.78,351.13,286.33,225.70,122.44,127.96,88.67
1993,59.51,92.31,85.01,94.22,109.54,138.45,85.90,99.44,251.42,75.89,58.20,57.36
1994,72.11,35.60,109.10,131.06,189.79,155.68,295.75,183.80,139.45,90.90,72.04,42.87
1995,52.69,45.93,124.95,66.60,116.04,221.92,187.22,138.65,163.83,95.38,92.51,83.23
1996,58.62,44.43,84.82,112.99,164.78,199.36,272.92,165.74,229.85,71.19,140.31,73.16
1997,143.72,89.95,83.13,161.34,199.65,257.04,197.31,229.64,232.10,210.59,67.67,53.67
1998,48.73,62.70,118.03,114.42,144.25,280.62,270.30,211.96,228.81,123.76,90.12,50.95
1999,84.08,41.20,100.29,131.81,128.69,204.07,187.45,94.17,278.24,116.46,116.85,55.87
2000,117.63,64.67,87.13,54.20,126.73,222.69,161.28,179.04,216.16,185.79,81.50,65.23
2001,121.03,39.49,103.10,92.95,141.93,154.16,270.18,170.29,133.71,155.22,100.58,90.39
2002,99.70,51.18,111.09,145.49,139.38,180.92,261.50,294.57,140.90,99.73,156.69,63.15
2003,53.58,67.64,82.13,101.69,225.07,162.20,121.20,203.07,240.31,206.93,96.15,126.97
2004,77.70,84.44,100.90,69.45,101.68,115.86,272.07,171.63,150.43,111.83,86.40,63.11
2005,67.30,104.31,103.48,144.23,168.98,194.43,344.25,147.99,153.03,146.88,126.61,116.49
2006,63.61,62.41,79.35,79.16,135.06,148.93,330.93,144.06,190.11,107.14,50.62,93.09
2007,62.58,58.60,91.66,122.70,171.44,216.54,98.66,236.78,160.25,112.76,91.97,80.03
2008,109.48,95.94,107.77,116.31,96.00,192.62,319.97,162.49,77.66,155.77,145.67,87.89
2009,52.25,103.53,152.28,179.91,160.64,233.69,250.04,112.27,186.43,151.53,85.05,119.63
2010,38.46,80.27,56.46,97.28,222.63,243.10,195.62,177.90,327.57,129.80,101.42,76.15
2011,54.13,99.99,132.50,122.75,120.06,235.79,236.76,144.03,202.48,125.11,140.74,110.51
2012,67.75,78.08,67.60,150.96,78.47,197.17,170.83,209.98,249.41,242.13,108.82,90.77
2013,64.55,95.28,131.45,82.24,119.58,193.88,195.49,333.33,125.12,191.01,88.78,114.19
2014,98.27,55.62,126.15,148.82,96.40,213.75,261.04,213.25,241.53,81.24,153.56,99.89
2015,96.71,82.98,79.77,155.95,129.08,286.71,186.11,222.00,272.85,114.44,94.27,113.86
2016,53.46,58.86,69.03,128.81,87.70,179.56,211.92,191.24,186.41,219.37,80.20,58.58
2017,77.68,58.86,148.69,106.66,181.58,216.76,276.44,199.26,306.85,112.14,56.56,87.13
2018,41.13,60.30,96.03,99.89,91.05,203.22,265.99,252.85,120.26,196.82,60.73,84.39
2019,99.70,67.04,117.82,124.95,119.20,238.79,456.04,103.18,222.14,140.33,63.24,47.17
2020,,,,,,,,,,,,
